Series,rating,score
gameofthrones,positive,87%
strangerthings,positive,91%
thewalkingdead,positive,78%
prisonbreak,positive,60%
narcos,positive,89%
riverdale,positive,56%
moneyheist,positive,81%
bigbangtheory,positive,81%
blackmirror,positive,81%
breakingbad,positive,97%
