,user_id,user_statuses,name,tweet,retweets,location,created,followers,is_user_verified,favorite_count,in_reply_to_status_id,keyword,language
25,1475100211,628,sabari75558,"Best Thriller Movies On Netflix - Visaranai - Tamil Thriller Movie -IMDB 8.5
https://t.co/RwJQqsQZYL https://t.co/v0hzftOdKi",0,India,11-Jun-2021,140,False,0,,movie,de
26,996589633277341701,17387,syarazidlee,@notpedoooo Movie netflix sistur,0,"Muar, Johor",11-Jun-2021,183,False,0,1.403212489622311e+18,movie,de
27,909158801072254976,4588,hellonjwx,@adypppp @nhsnzlkha Suggest jap movie apa yang best dekat Netflix,0,,11-Jun-2021,109,False,0,1.4011150508326584e+18,movie,de
28,886879776111120384,72522,Prabhakareddie,"@NageshJust @UV_Creations @director_radhaa @hegdepooja Movies kadu ga 
Movie update kosam 🙃",0,,11-Jun-2021,1392,False,0,1.403205266854744e+18,movie,de
29,958874849119821825,3372,chrisjustdope,Favorite movie genre??,0,,11-Jun-2021,86,False,0,,movie,de
30,1299668515578732544,13541,suman_rebell,@KarthikTweetzs @HailPrabhas Sensation ani chepalem good hit movie icharu!!,0,,11-Jun-2021,627,False,1,1.403199563825967e+18,movie,de
31,604206866,26652,elliottchuy,#FoundOverTheRainbow Virgil Brinkman. #Movie #Abyss,1,,11-Jun-2021,410,False,1,,movie,de
32,4607175072,54,aikoazure,@ArchieAntlers HE HELP WITH THE GLOBGORGABGALAB MOVIE??!!,0,the void,11-Jun-2021,7,False,0,1.403094919229608e+18,movie,de
33,1367235739210174468,13502,_98slino,me dieron ganas d ver teen beach movie,0,SHE!HER,11-Jun-2021,1335,False,0,,movie,de
34,1293944901873184768,6563,VintageSSMB,"@GudumbaShankhar Neel unmad ga 
Omraut last movie pedda BB inkem kavali",0,,11-Jun-2021,126,False,0,1.4031913395131146e+18,movie,de
35,1219970286503616512,43378,SKCULT_8055,@Raj54580956 Movie ne barute,1,"New Delhi, India",11-Jun-2021,1317,False,1,1.4031914849840947e+18,movie,de
36,851663120,61097,AudreyRoseHaven,@jasonralphfans @DothTheDoth Hallmark Channel’s Christmas movie marathons,0,"Haven, Maine",11-Jun-2021,733,False,0,1.4031722746524672e+18,movie,de
37,1332244230614491137,3675,loutheviper23,First Pokémon movie then Pokémon 2000 😁🥰,0,,11-Jun-2021,121,False,0,,movie,de
38,1184659070915096576,6884,AriJncas,@selena_salazar_ *puts movie in dvd player*,0,,11-Jun-2021,305,False,0,1.4031889080247296e+18,movie,de
39,844167585142915072,23428,gameforalame,@yngyhwh Mark wahlberg new movie.,0,"Atlanta, GA",11-Jun-2021,565,False,0,1.4031861357240812e+18,movie,de
40,236649858,41852,HappyGoBecki,"Movie night with Zen

UHF 

@thezencomic",0,Zen Den ,11-Jun-2021,811,False,8,,movie,de
41,1307382924824596480,3592,katyana_np,tv/movie recs?/gen,0,daydreams,11-Jun-2021,13,False,0,,movie,de
42,1224012772612112385,132,SpicylilBruja,@TommyDoyle47 That wolf movie with Michelle pfeiffer,0,,11-Jun-2021,89,False,1,1.4029987089128038e+18,movie,de
43,1352361815121002496,5630,UzunhanTunc,Die jüdischen Frequenzen ✡ aus der Vergangenheit....Quelle Movie Frequency.... https://t.co/orqvxrUHQn,0,,11-Jun-2021,1,False,0,,movie,de
44,722554479464198145,5349,Rcmoore76137,Undercover Angel (TV Movie 2017) - IMDb - https://t.co/VRN65pP1lR Touched by a clueless angel @UPtv @FrndlyTV,0,Fort Worth TX,11-Jun-2021,148,False,0,,movie,de
45,1085541891666468864,9930,zupartacasj,Movie marathon 🤪 https://t.co/GgqgI4EVkL,0,God's Grace,11-Jun-2021,386,False,0,,movie,de
46,335923025,33197,eqynaris,@afliz4umami Movie dekat netflix sis 😂😂,0,"Kelang, Selangor",11-Jun-2021,131,False,0,1.4031596855327703e+18,movie,de
47,45230317,62378,johnkensil,"David Schwimmer &amp; Al Franken  90's cop buddy movie 
 ""Moving Violations 2"" https://t.co/K7giQGVAPz",0,"Fistin your face, Anytown USA",11-Jun-2021,1794,False,2,,movie,de
48,4882852211,31867,cass_milne,"#Bales2021FilmChallenge 
Marine life in a movie
Werkmeister Harmonies https://t.co/klAWt585ug",1,"Kentucky, USA",11-Jun-2021,948,False,6,,movie,de
